country,book,question_number,question_id,criteria_short,parent_book,scale,n_chapters_total,n_chapters_committed,all_other_unsure,mode_answer,mode_position,tie_broken,median_position,median_answer,mean_position,peak_position,peak_answer,end_answer,end_position
China,A View from the Stars | A Journey in Search of Home,1,q1,is space something to be contested,A View from the Stars,ordinal,1,0,TRUE,Other / Unsure,NA,FALSE,NA,NA,NA,NA,NA,NA,NA
China,A View from the Stars | A Journey in Search of Home,2,q2,can you inhabit and hold territory in space,A View from the Stars,ordinal,1,0,TRUE,Other / Unsure,NA,FALSE,NA,NA,NA,NA,NA,NA,NA
China,A View from the Stars | A Journey in Search of Home,3,q3,how long is journey / how  far from earth,A View from the Stars,ordinal,1,0,TRUE,Other / Unsure,NA,FALSE,NA,NA,NA,NA,NA,NA,NA
China,A View from the Stars | A Journey in Search of Home,4,q4,how culturally different is space from earth?,A View from the Stars,ordinal,1,0,TRUE,Other / Unsure,NA,FALSE,NA,NA,NA,NA,NA,NA,NA
China,A View from the Stars | A Journey in Search of Home,5,q5,do you speak same language on earth vs space ?,A View from the Stars,ordinal,1,0,TRUE,Other / Unsure,NA,FALSE,NA,NA,NA,NA,NA,NA,NA
China,A View from the Stars | A Journey in Search of Home,6,q6,is it hostile / hard to survive (bc of natural conditions),A View from the Stars,ordinal,1,0,TRUE,Other / Unsure,NA,FALSE,NA,NA,NA,NA,NA,NA,NA
China,A View from the Stars | A Journey in Search of Home,7,q7,how common is it for humans to live in space,A View from the Stars,ordinal,1,0,TRUE,Other / Unsure,NA,FALSE,NA,NA,NA,NA,NA,NA,NA
China,A View from the Stars | A Journey in Search of Home,8,q8,are there different countries in space? Or just one?,A View from the Stars,ordinal,1,0,TRUE,Other / Unsure,NA,FALSE,NA,NA,NA,NA,NA,NA,NA
China,A View from the Stars | A Journey in Search of Home,9,q9,genre of the book,A View from the Stars,nominal,1,0,TRUE,Other / Unsure,7,FALSE,NA,NA,NA,NA,NA,NA,NA
China,A View from the Stars | A Journey in Search of Home,10,q10,is space a military or civilian domain / is the book military or civilian?,A View from the Stars,ordinal,1,0,TRUE,Other / Unsure,NA,FALSE,NA,NA,NA,NA,NA,NA,NA
China,A View from the Stars | A Journey in Search of Home,11,q11,Is space characterized like another military domain?,A View from the Stars,nominal,1,0,TRUE,Other / Unsure,6,FALSE,NA,NA,NA,NA,NA,NA,NA
