country,question_number,question_id,criteria_short,scale,answer,weight_sum,book_count_unweighted,proportion,aggregation
China,1,q1,is space something to be contested,ordinal,High contestation (frequent conflict or strategic struggle),3,3,0.375,mode
China,1,q1,is space something to be contested,ordinal,"Low contestation (minor competition, little open conflict)",1,1,0.125,mode
China,1,q1,is space something to be contested,ordinal,Moderate contestation (ongoing rivalry/disputes),1,1,0.125,mode
China,1,q1,is space something to be contested,ordinal,No contestation,0.16776315789473684,3,0.020970394736842105,mode
China,1,q1,is space something to be contested,ordinal,Other / Unsure,1.832236842105263,32,0.22902960526315788,mode
China,1,q1,is space something to be contested,ordinal,Total war / constant conflict,1,1,0.125,mode
China,2,q2,can you inhabit and hold territory in space,ordinal,Extensive territorial occupation (many settled worlds/regions held like states or empires),1.0625,2,0.1328125,mode
China,2,q2,can you inhabit and hold territory in space,ordinal,Habitable and governable (permanent settlements can hold territory),2,2,0.25,mode
China,2,q2,can you inhabit and hold territory in space,ordinal,Other / Unsure,1.8848684210526314,33,0.23560855263157893,mode
China,2,q2,can you inhabit and hold territory in space,ordinal,"Visiting / Temporary presence only (stations, missions, outposts)",3.0526315789473686,4,0.3815789473684211,mode
China,3,q3,how long is journey / how  far from earth,ordinal,"Extreme / effectively unreachable (generational, completely separate, or one-way-feeling distance)",5.125,7,0.640625,mode
China,3,q3,how long is journey / how  far from earth,ordinal,Moderate journey (months/meaningful separation),1,1,0.125,mode
China,3,q3,how long is journey / how  far from earth,ordinal,Other / Unsure,1.8223684210526314,32,0.22779605263157893,mode
China,3,q3,how long is journey / how  far from earth,ordinal,Short interplanetary journey,0.05263157894736842,1,0.006578947368421052,mode
China,4,q4,how culturally different is space from earth?,ordinal,Basically Earth society in space,1.0526315789473684,2,0.13157894736842105,mode
China,4,q4,how culturally different is space from earth?,ordinal,Distinct space culture,3,3,0.375,mode
China,4,q4,how culturally different is space from earth?,ordinal,Other / Unsure,1.832236842105263,32,0.22902960526315788,mode
China,4,q4,how culturally different is space from earth?,ordinal,Radically different / alien social order,2.1151315789473686,4,0.2643914473684211,mode
China,5,q5,do you speak same language on earth vs space ?,ordinal,Other / Unsure,1.832236842105263,32,0.22902960526315788,mode
China,5,q5,do you speak same language on earth vs space ?,ordinal,Same languages as Earth,4.105263157894737,6,0.5131578947368421,mode
China,5,q5,do you speak same language on earth vs space ?,ordinal,Translation-mediated communication (universal translator / communication tech makes language difference irrelevant),2.0625,3,0.2578125,mode
China,6,q6,is it hostile / hard to survive (bc of natural conditions),ordinal,Benign / easily survivable,0.0625,1,0.0078125,mode
China,6,q6,is it hostile / hard to survive (bc of natural conditions),ordinal,Extremely hostile (constant survival pressure),1.0625,2,0.1328125,mode
China,6,q6,is it hostile / hard to survive (bc of natural conditions),ordinal,Harsh and resource-intensive,2,2,0.25,mode
China,6,q6,is it hostile / hard to survive (bc of natural conditions),ordinal,Manageable but risky,0.05263157894736842,1,0.006578947368421052,mode
China,6,q6,is it hostile / hard to survive (bc of natural conditions),ordinal,Nearly uninhabitable / lethal without major intervention,3,3,0.375,mode
China,6,q6,is it hostile / hard to survive (bc of natural conditions),ordinal,Other / Unsure,1.8223684210526314,32,0.22779605263157893,mode
China,7,q7,how common is it for humans to live in space,ordinal,Common (many people live/work there),1,1,0.125,mode
China,7,q7,how common is it for humans to live in space,ordinal,Exceptionally rare (few astronauts/explorers),3.0625,4,0.3828125,mode
China,7,q7,how common is it for humans to live in space,ordinal,Moderately common (noticeable settlements/populations),0.05263157894736842,1,0.006578947368421052,mode
China,7,q7,how common is it for humans to live in space,ordinal,Normalized / widespread (space habitation is ordinary for humanity),2.0625,3,0.2578125,mode
China,7,q7,how common is it for humans to live in space,ordinal,Other / Unsure,1.8223684210526314,32,0.22779605263157893,mode
China,8,q8,are there different countries in space? Or just one?,ordinal,Earth nation-states extend into space,1.0526315789473684,2,0.13157894736842105,mode
China,8,q8,are there different countries in space? Or just one?,ordinal,Multiple distinct space polities,1.0625,2,0.1328125,mode
China,8,q8,are there different countries in space? Or just one?,ordinal,Other / Unsure,1.832236842105263,32,0.22902960526315788,mode
China,8,q8,are there different countries in space? Or just one?,ordinal,Single unified authority,4.052631578947368,5,0.506578947368421,mode
China,9,q9,genre of the book,nominal,Adventure / exploration,0.29276315789473684,5,0.036595394736842105,mode
China,9,q9,genre of the book,nominal,Comedy / satire,0.1875,3,0.0234375,mode
China,9,q9,genre of the book,nominal,Drama,5.605263157894737,15,0.7006578947368421,mode
China,9,q9,genre of the book,nominal,Military / war,0.05263157894736842,1,0.006578947368421052,mode
China,9,q9,genre of the book,nominal,Other / Unsure,0.7467105263157894,14,0.09333881578947367,mode
China,9,q9,genre of the book,nominal,Thriller / Horror / Survival,1.1151315789473684,3,0.13939144736842105,mode
China,10,q10,is space a military or civilian domain / is the book military or civilian?,ordinal,Entirely civilian,1.1677631578947367,4,0.1459703947368421,mode
China,10,q10,is space a military or civilian domain / is the book military or civilian?,ordinal,Mostly civilian with some military presence,2,2,0.25,mode
China,10,q10,is space a military or civilian domain / is the book military or civilian?,ordinal,Mostly military,3,3,0.375,mode
China,10,q10,is space a military or civilian domain / is the book military or civilian?,ordinal,Other / Unsure,1.832236842105263,32,0.22902960526315788,mode
China,11,q11,Is space characterized like another military domain?,nominal,Like cyberspace / networked or abstract domain,1,1,0.125,mode
