book,q_number,n_pairs,n_both_other,n_one_other,exact_agreement,kappa,kappa_weighted,n_pairs_ordinal,alpha,scale
Ender's Game,1,15,0,2,0.06666666666666667,0.0625,0.41441441441441457,13,-0.1905898072151173,ordinal
Ender's Game,2,15,2,9,0.2,0.05263157894736843,-0.12499999999999978,6,0.6507936507936508,ordinal
Ender's Game,3,15,2,8,0.2,-0.046511627906976716,0.1860465116279067,7,0.6617184771219001,ordinal
Ender's Game,4,15,0,0,0,0,0,15,-0.6708333333333334,ordinal
Ender's Game,5,15,0,0,0.5333333333333333,0,0,15,-0.26086956521739135,ordinal
Ender's Game,6,15,3,11,0.2,-0.04046242774566475,-0.6,4,0.9642857142857143,ordinal
Ender's Game,7,15,0,9,0.3333333333333333,0.032258064516129,-0.7142857142857141,6,0.9848484848484849,ordinal
Ender's Game,8,15,0,6,0.2,0.016393442622950855,-0.07999999999999986,9,0.011904761904761862,ordinal
Ender's Game,9,15,0,0,0,0,NA,NA,-0.5875912408759123,nominal
Ender's Game,10,15,0,2,0.6,0.23076923076923064,-0.45739910313901627,13,0.3545742552245442,ordinal
Ender's Game,11,15,2,2,0.3333333333333333,0.22279792746113988,NA,NA,0.049180327868852514,nominal
Ender's Game,12,15,3,1,0.3333333333333333,0.1891891891891892,0.3478260869565217,14,0.45948242059861455,ordinal
Off on a Comet,1,10,0,9,0,0,NA,1,NA,ordinal
Off on a Comet,2,10,4,6,0.4,0,NA,4,NA,ordinal
Off on a Comet,3,10,5,2,0.5,0.23076923076923078,-0.45454545454545453,8,0.9001479289940828,ordinal
Off on a Comet,5,10,0,10,0,0,NA,0,NA,ordinal
Off on a Comet,6,10,3,2,0.5,0.3150684931506849,0.4418604651162789,8,0.8198341836734694,ordinal
Off on a Comet,7,10,4,0,0.4,0.28571428571428575,-0.24999999999999972,10,0.6510204081632653,ordinal
Off on a Comet,8,10,4,6,0.4,0,NA,4,NA,ordinal
Off on a Comet,9,10,0,2,0.7,-0.07142857142857148,NA,NA,-0.07547169811320753,nominal
Off on a Comet,10,10,0,3,0.3,-0.20689655172413804,0,7,-0.30000000000000004,ordinal
Off on a Comet,11,10,4,6,0.4,0,NA,NA,-0.23913043478260865,nominal
Off on a Comet,12,10,3,1,0.3,0.20454545454545453,0.5714285714285715,9,0.5277777777777778,ordinal
Planet of the Apes,1,38,0,26,0.05263157894736842,0.022857142857142854,0.1964285714285715,12,-0.2471073362875431,ordinal
Planet of the Apes,2,38,0,32,0.05263157894736842,0.011560693641618497,0,6,-0.375,ordinal
Planet of the Apes,3,38,0,34,0.02631578947368421,0,0,4,-0.3999999999999999,ordinal
Planet of the Apes,4,38,0,15,0.2894736842105263,0.020992366412213772,-0.057999999999998844,23,0.0921176102596184,ordinal
Planet of the Apes,5,38,1,17,0.5,0.010958904109588937,0.06185567010309526,21,0.5117522797935169,ordinal
Planet of the Apes,6,38,0,35,0.02631578947368421,-0.011510791366906473,0.5000000000000001,3,0.19444444444444442,ordinal
Planet of the Apes,7,38,0,34,0.02631578947368421,0,-0.125,4,-0.11250000000000004,ordinal
Planet of the Apes,8,38,4,33,0.13157894736842105,-0.018683996750609246,1,5,1,ordinal
Planet of the Apes,9,38,0,0,0.13157894736842105,0,NA,NA,-0.3780623608017817,nominal
Planet of the Apes,10,38,0,27,0.2631578947368421,0.01663585951940849,0,11,0,ordinal
Planet of the Apes,11,38,4,28,0.13157894736842105,-0.01620745542949758,NA,NA,-0.4232317423806786,nominal
The Martian,1,26,0,0,1,NA,NA,26,NA,ordinal
The Martian,2,26,0,6,0,0,0,20,-0.95,ordinal
The Martian,3,26,0,3,0.8846153846153846,0,NA,23,NA,ordinal
The Martian,4,26,0,0,1,NA,NA,26,NA,ordinal
The Martian,5,26,0,0,1,NA,NA,26,NA,ordinal
The Martian,6,26,0,0,1,NA,NA,26,NA,ordinal
The Martian,7,26,0,0,1,NA,NA,26,NA,ordinal
The Martian,8,26,0,0,0.11538461538461539,0,0,26,-0.7586206896551724,ordinal
The Martian,9,26,0,0,0,0,NA,NA,-0.5276497695852536,nominal
The Martian,10,26,0,0,1,NA,NA,26,NA,ordinal
The Martian,11,26,0,0,0,0,NA,NA,-0.891583452211127,nominal
The Martian,12,26,0,0,1,NA,NA,26,NA,ordinal
The Three-Body Problem,1,35,5,13,0.42857142857142855,0.09326424870466327,0.7317073170731709,22,0.6278443494093238,ordinal
The Three-Body Problem,2,35,18,15,0.5428571428571428,0.07284768211920527,0,20,0.9972972972972973,ordinal
The Three-Body Problem,3,35,17,12,0.5428571428571428,0.16542473919523087,0.8553459119496857,23,0.970578620464204,ordinal
The Three-Body Problem,4,35,19,13,0.5428571428571428,0.036144578313252976,0.7755102040816328,22,0.9895354496782218,ordinal
The Three-Body Problem,5,35,21,11,0.6285714285714286,0.07142857142857145,0.8749999999999998,24,0.9941946640316206,ordinal
The Three-Body Problem,6,35,14,15,0.5714285714285714,0.3073878627968337,1,20,1,ordinal
The Three-Body Problem,7,35,26,8,0.7428571428571429,0.07624633431085055,-0.9285714285714253,27,0.9993011879804332,ordinal
The Three-Body Problem,8,35,18,16,0.5428571428571428,0.04109589041095893,1,19,1,ordinal
The Three-Body Problem,9,35,0,22,0.2,0.09343200740055506,NA,NA,-0.03982777179763186,nominal
The Three-Body Problem,10,35,14,16,0.5428571428571428,0.1641791044776119,1,19,1,ordinal
The Three-Body Problem,11,35,15,19,0.42857142857142855,-0.030927835051546462,NA,NA,-0.25454545454545463,nominal
The Three-Body Problem,12,35,27,8,0.7714285714285715,0,NA,27,NA,ordinal
